product_id,product_name,category,subcategory,brand,unit_price,cost_price,supplier,launch_date
18,Think Wearables 692,Electronics,Wearables,"Nixon, Shaw and Riley",817.25,380.33,Bruce-Ramos,2023-11-20
19,Red Wearables 202,Electronics,Wearables,Williams LLC,514.72,328.86,Reynolds-Scott,2025-05-05
20,Walk Tablets 632,Electronics,Tablets,Boyle-Rose,270.19,148.46,"Reed, Rowe and Jones",2024-12-31
21,Discover Smartphones 721,Electronics,Smartphones,Miller PLC,522.9,294.74,Patton-Sexton,2023-07-27
22,Rock Tablets 235,Electronics,Tablets,Short Inc,940.88,468.68,Pitts LLC,2024-12-27
23,Skill Tablets 216,Electronics,Tablets,Anderson PLC,591.14,384.6,Thomas-Yu,2024-12-25
24,Executive Accessories 421,Electronics,Accessories,Kennedy Inc,256.98,119.1,"Gates, Thompson and Hernandez",2025-04-05
25,Gun Smartphones 629,Electronics,Smartphones,"Orr, Martin and Torres",508.03,232.29,"Mccann, Ali and Coleman",2023-10-18
26,Argue Wearables 738,Electronics,Wearables,David-Crawford,908.52,457.44,"Shelton, Nelson and Smith",2025-03-09
27,View Smartphones 340,Electronics,Smartphones,Le Inc,239.34,120.41,Spencer-Mcdonald,2023-01-17
28,Resource Tablets 187,Electronics,Tablets,Bell Ltd,418.67,241.9,Wagner-Dickerson,2024-07-17
29,Positive Laptops 929,Electronics,Laptops,"Edwards, Kelly and Webb",278.64,161.81,Franklin Inc,2025-09-30
30,Shoulder Laptops 790,Electronics,Laptops,"Frank, James and Conley",301.98,144.78,"Wells, Murray and Jones",2023-10-12
31,Chair Tablets 786,Electronics,Tablets,Nguyen-Erickson,751.22,411.95,Villanueva-Edwards,2023-10-28
32,Middle Tablets 928,Electronics,Tablets,"Thompson, Bean and Mullen",378.75,197.26,Mason-Gutierrez,2024-03-22
33,In Laptops 447,Electronics,Laptops,"Acosta, Young and Diaz",667.65,392.2,Hernandez-Gonzalez,2024-08-22
34,Name Laptops 957,Electronics,Laptops,Bowman and Sons,974.09,426.87,Wells LLC,2023-12-24
35,Citizen Accessories 980,Electronics,Accessories,Holmes Group,653.51,301.71,"Diaz, Anderson and Flores",2025-04-26
36,Occur Laptops 128,Electronics,Laptops,"George, Diaz and Wong",731.08,360.29,Sweeney-Terry,2025-11-25
37,Worry Tablets 451,Electronics,Tablets,Mata and Sons,136.49,65.7,"Smith, Hoffman and Taylor",2023-03-06
38,Major Accessories 484,Electronics,Accessories,Garcia LLC,388.14,164.88,Wood-Patton,2022-12-10
39,City Accessories 304,Electronics,Accessories,Nguyen Ltd,865.07,381.8,Taylor LLC,2025-10-08
40,And Wearables 767,Electronics,Wearables,Cook-Newton,453.03,309.91,"Richardson, Foster and Miller",2025-07-11
41,Interview Laptops 927,Electronics,Laptops,Wallace Group,851.28,396.0,"Baker, Frye and Cabrera",2025-06-20
42,Small Tablets 977,Electronics,Tablets,"Ryan, Dennis and Welch",619.85,368.17,Atkinson-Cook,2025-06-04
43,Exist Accessories 998,Electronics,Accessories,Parker-Banks,156.38,109.19,Wilkins-White,2023-02-26
44,Us Tablets 123,Electronics,Tablets,Roberts-Gray,287.53,122.91,Macias-Stephens,2023-05-20
45,News Laptops 453,Electronics,Laptops,Wright LLC,559.22,311.56,Diaz LLC,2023-10-03
46,Daughter Smartphones 680,Electronics,Smartphones,Freeman Inc,476.15,283.5,"Conner, Giles and Hughes",2023-06-10
47,Instead Tablets 917,Electronics,Tablets,Blackburn-Jimenez,465.03,190.95,"Morrison, Walters and Ramos",2024-08-18
48,Bit Accessories 428,Electronics,Accessories,Gray-Mcdonald,523.01,276.24,Williams and Sons,2024-01-08
49,Nation Smartphones 348,Electronics,Smartphones,Crawford PLC,772.86,502.12,"Herrera, Torres and Gonzalez",2024-09-04
50,Raise Wearables 249,Electronics,Wearables,Gray-Ball,526.17,319.98,Scott-Hardy,2023-02-28
51,Manager Wearables 370,Electronics,Wearables,"Bowman, Simmons and Hernandez",135.81,94.28,Mcdaniel-Powers,2025-06-24
52,But Laptops 101,Electronics,Laptops,"Simpson, Abbott and Baker",754.0,483.44,Bailey LLC,2025-11-22
53,Change Tablets 614,Electronics,Tablets,Gillespie-Austin,975.87,447.4,"Smith, Soto and Gonzalez",2024-02-22
54,Common Tablets 856,Electronics,Tablets,Harrison Ltd,427.17,191.04,Payne PLC,2025-01-27
55,Station Accessories 885,Electronics,Accessories,Neal-Nash,979.04,513.48,Wilson and Sons,2025-11-23
56,Government Wearables 808,Electronics,Wearables,"French, Johnson and Kirby",646.66,306.69,"Bates, Schmidt and Bates",2025-09-13
57,White Accessories 866,Electronics,Accessories,"Cabrera, Parks and Whitaker",724.27,387.77,Norton Ltd,2025-01-29
58,Walk Accessories 613,Electronics,Accessories,Jones-Horton,255.29,114.18,Hayes-Stuart,2024-05-07
59,Decision Wearables 124,Electronics,Wearables,Miller-Walls,177.74,90.04,"Rogers, Patterson and Bailey",2025-11-14
60,Apply Laptops 638,Electronics,Laptops,Sweeney-Hernandez,661.79,355.05,"Jacobs, Rogers and Torres",2025-08-24
61,Thousand Tablets 154,Electronics,Tablets,Ford Inc,139.28,86.27,Fleming Group,2024-06-26
62,Open Tablets 481,Electronics,Tablets,Turner-Stephens,734.08,347.17,Guerrero and Sons,2025-05-01
63,Energy Smartphones 648,Electronics,Smartphones,Simmons-Hood,124.55,66.73,Cooke Inc,2025-02-28
64,Total Tablets 688,Electronics,Tablets,"Juarez, Frey and Brown",912.72,595.28,"Simmons, Robinson and Singleton",2024-12-28
65,These Smartphones 724,Electronics,Smartphones,Baird-Tapia,192.82,104.74,Hartman and Sons,2024-09-11
66,Role Laptops 871,Electronics,Laptops,"Gilbert, Dunlap and Wilson",279.81,192.06,Hunter PLC,2024-09-02
67,Color Tablets 780,Electronics,Tablets,Davenport-Massey,532.6,247.32,Rose PLC,2024-06-13
68,Data Laptops 154,Electronics,Laptops,Reeves-Fitzgerald,663.27,269.4,"Gonzalez, Simpson and Davis",2023-11-13
69,One Wearables 410,Electronics,Wearables,Richard-Blevins,728.69,410.98,Ayers LLC,2023-09-14
70,Conference Laptops 996,Electronics,Laptops,Clay-Johnson,21.6,11.41,Davidson-Harris,2023-07-01
71,Cover Tablets 587,Electronics,Tablets,Dean-Morris,982.32,628.8,Gordon Group,2025-07-25
72,Administration Laptops 469,Electronics,Laptops,"Davis, Sanchez and Mejia",819.29,455.31,Jackson PLC,2023-09-09
73,Soon Tablets 107,Electronics,Tablets,Cooley-Colon,269.25,110.65,"Rangel, Berry and Lynch",2022-12-05
74,Class Tablets 956,Electronics,Tablets,Peters-Davila,360.48,240.75,"Wheeler, Richards and Anderson",2024-01-29
75,Up Wearables 228,Electronics,Wearables,Harper-Johnson,683.34,314.76,"Rogers, Ramos and Webb",2023-07-23
76,Change Smartphones 553,Electronics,Smartphones,Baker-Webb,269.99,182.82,Ramsey-Carter,2025-09-12
77,Health Smartphones 620,Electronics,Smartphones,Woodward-Byrd,107.77,51.69,Murillo Group,2025-07-12
78,Key Smartphones 184,Electronics,Smartphones,Lawson-Gray,544.84,284.74,Ford Group,2025-09-21
79,High Smartphones 987,Electronics,Smartphones,Vasquez and Sons,895.05,414.18,Clarke-Love,2023-06-07
80,Country Tablets 169,Electronics,Tablets,"Johnson, Washington and Allen",584.13,291.29,"Lozano, Stephens and Wright",2025-01-13
81,World Wearables 169,Electronics,Wearables,"Barton, Smith and Thomas",720.41,384.81,"Hill, Palmer and Schmidt",2024-01-31
82,Team Smartphones 993,Electronics,Smartphones,Solis-Johnson,758.97,329.9,"Wang, Harvey and White",2024-07-14
83,Phone Laptops 824,Electronics,Laptops,Perez-Buchanan,754.56,379.62,Diaz-Burns,2024-03-01
84,Need Tablets 696,Electronics,Tablets,Bonilla Inc,668.92,323.37,"Tyler, Bender and Acosta",2023-01-18
85,Customer Wearables 324,Electronics,Wearables,Powers Inc,63.28,36.14,Meyers and Sons,2025-02-20
86,Citizen Tablets 737,Electronics,Tablets,Hansen-Morris,51.87,28.91,Olson-Smith,2023-05-08
87,Clearly Accessories 504,Electronics,Accessories,Moreno-Dennis,357.25,207.7,Oconnell and Sons,2024-04-28
88,Down Tablets 976,Electronics,Tablets,"Hernandez, Carroll and Ferguson",406.32,175.64,Cabrera and Sons,2023-12-21
89,Western Laptops 199,Electronics,Laptops,Conley-West,357.02,146.53,Zhang and Sons,2023-01-16
90,Enter Tablets 124,Electronics,Tablets,Taylor PLC,672.9,459.36,Lloyd LLC,2025-04-24
91,Something Laptops 908,Electronics,Laptops,Lawrence-Dean,145.41,100.16,"Austin, Hughes and Davis",2023-08-14
92,Become Laptops 391,Electronics,Laptops,Bowman Group,663.43,355.18,"Hall, Hooper and Nguyen",2025-05-27
93,Not Tablets 503,Electronics,Tablets,Ho-Edwards,254.44,119.69,Phillips-Nelson,2025-09-16
94,Free Accessories 451,Electronics,Accessories,"Underwood, Simpson and Martinez",600.37,257.26,Wright-Cummings,2024-12-09
95,Test Smartphones 680,Electronics,Smartphones,Butler-Bird,17.16,7.66,Ramirez-Good,2023-10-29
96,Any Accessories 248,Electronics,Accessories,Mcintyre Ltd,314.91,195.4,Harrington Inc,2023-04-11
97,Your Tablets 529,Electronics,Tablets,"Robinson, Johnson and Edwards",679.91,415.81,Houston-Jones,2025-03-09
98,Around Laptops 649,Electronics,Laptops,Anderson Ltd,488.86,225.99,Townsend LLC,2023-07-30
99,Cover Tablets 166,Electronics,Tablets,"Bryan, Wilson and Parks",455.2,298.22,Wiley and Sons,2025-10-11
100,Good Accessories 579,Electronics,Accessories,Hammond-Fitzgerald,649.16,265.91,Wood-Reeves,2024-11-10
101,Discussion Wearables 773,Electronics,Wearables,Howard-Lyons,508.98,322.47,Peterson Group,2024-07-10
102,Take Smartphones 578,Electronics,Smartphones,West Inc,881.21,448.7,Adams Inc,2023-04-29
103,Level Accessories 710,Electronics,Accessories,"Acosta, Mann and Shannon",793.59,318.11,"Watson, Graham and Ward",2023-07-19
104,Record Accessories 855,Electronics,Accessories,Estrada Group,877.1,530.95,"Cox, Lambert and Hall",2023-10-29
105,Or Smartphones 658,Electronics,Smartphones,"Bell, Young and Young",690.39,446.02,"Rodriguez, Bennett and Lane",2023-07-21
106,Star Laptops 974,Electronics,Laptops,"Castillo, Lambert and Wilson",615.7,420.07,Lee Ltd,2024-10-01
107,Spring Wearables 701,Electronics,Wearables,Harrington-Palmer,594.41,345.97,Waters-Rice,2023-01-31
108,During Accessories 407,Electronics,Accessories,"Rodriguez, Thomas and Henderson",179.35,118.01,Graves LLC,2023-04-19
109,Bar Accessories 717,Electronics,Accessories,Larson Ltd,436.44,265.77,"Harris, Salazar and Herring",2023-05-02
110,Send Accessories 679,Electronics,Accessories,"Casey, Alvarez and Kent",989.8,484.77,Anderson Ltd,2023-06-03
111,Also Wearables 121,Electronics,Wearables,Steele-Miller,361.81,157.54,"Freeman, Walker and Rogers",2024-05-24
112,Blood Accessories 325,Electronics,Accessories,Cruz-Espinoza,570.24,383.09,Miller-Jones,2024-11-15
113,People Wearables 791,Electronics,Wearables,Taylor Ltd,212.94,134.23,"Rodriguez, Richard and Martinez",2024-02-20
114,Land Wearables 860,Electronics,Wearables,Abbott-Carter,456.45,196.07,Dougherty-Martinez,2023-02-23
115,Oil Tablets 363,Electronics,Tablets,Downs and Sons,476.92,198.34,Mooney-Andrews,2025-02-01
116,Feel Accessories 459,Electronics,Accessories,"Bryant, Smith and Walker",153.03,67.77,Hamilton-Klein,2024-12-11
117,Else Tablets 321,Electronics,Tablets,Wright Group,717.82,350.88,"Taylor, Clark and Taylor",2024-11-25
118,Sort Smartphones 265,Electronics,Smartphones,"Oliver, Marshall and Owens",935.29,470.29,Sherman Inc,2023-01-11
119,Health Laptops 547,Electronics,Laptops,Wagner Group,63.49,30.05,Price-Francis,2023-01-01
120,Rate Laptops 239,Electronics,Laptops,Brown-Jones,998.2,488.35,Nichols-Jones,2025-09-15
121,Present Accessories 619,Electronics,Accessories,Berger-Flores,744.86,349.68,"Gill, Johnson and Hughes",2024-06-27
122,Physical Laptops 683,Electronics,Laptops,"Smith, Kelly and Carter",421.42,229.41,Stewart and Sons,2024-05-17
123,Establish Tablets 118,Electronics,Tablets,Clark-Burns,417.85,229.79,Keller-Summers,2023-06-25
124,Have Smartphones 527,Electronics,Smartphones,Mueller PLC,449.94,275.99,Butler-Anderson,2025-09-14
125,Now Tablets 616,Electronics,Tablets,"Brown, Hayes and Bush",913.59,631.62,"Willis, Stone and Moore",2024-01-27
126,Audience Laptops 945,Electronics,Laptops,Johnson and Sons,574.35,259.75,Coleman-Wright,2023-01-11
127,People Accessories 869,Electronics,Accessories,Hayes Group,870.86,540.91,"Hart, Burke and Walton",2024-03-11
128,Choose Tablets 115,Electronics,Tablets,"Brown, Smith and Finley",189.35,84.66,Dawson-Arnold,2024-09-14
129,Involve Wearables 927,Electronics,Wearables,Hernandez Group,540.41,377.93,"Reyes, Patel and Keller",2025-07-16
130,Before Laptops 759,Electronics,Laptops,Odom-Jackson,635.73,339.87,Waller-Kelley,2025-11-28
131,Spring Wearables 835,Electronics,Wearables,Snyder Ltd,23.61,13.75,Peters-Bright,2023-01-16
132,Campaign Tablets 674,Electronics,Tablets,"Gilbert, Mcdonald and Graves",452.86,246.04,"Allen, Hernandez and Lewis",2025-05-17
133,Matter Wearables 239,Electronics,Wearables,Best Ltd,930.09,501.19,Lucas-Mata,2024-10-12
134,Mind Accessories 611,Electronics,Accessories,Robinson-Joseph,79.88,40.2,Blanchard-Hampton,2025-02-28
135,Any Tablets 134,Electronics,Tablets,"Gray, Mckinney and Stevens",248.27,132.58,Wallace PLC,2024-02-22
136,Fire Wearables 955,Electronics,Wearables,Morales-Jones,291.56,150.28,Jones Ltd,2023-09-27
137,Service Wearables 426,Electronics,Wearables,Phillips and Sons,547.28,369.01,"Evans, Mendoza and Gonzales",2025-09-06
138,Still Accessories 302,Electronics,Accessories,Williams Inc,238.39,131.87,Rivera-Randall,2023-09-17
139,Collection Tablets 836,Electronics,Tablets,Lane LLC,317.39,198.97,Townsend LLC,2025-10-29
140,Outside Tablets 606,Electronics,Tablets,"Higgins, Holloway and Baird",490.93,305.17,"Valenzuela, Johnson and Wells",2024-05-13
141,Suffer Accessories 828,Electronics,Accessories,Wilson-Santiago,747.75,495.62,Pearson-Oconnor,2024-02-05
142,Either Tablets 728,Electronics,Tablets,Robles-Harrell,45.3,29.76,Mitchell-Garcia,2023-12-22
143,Represent Tablets 216,Electronics,Tablets,Walker-Henry,436.08,287.3,Gutierrez-Scott,2023-08-09
144,Leave Accessories 327,Electronics,Accessories,"Guerrero, Bowers and Guerrero",171.0,107.94,Holder-Lee,2025-06-03
145,Behavior Tablets 507,Electronics,Tablets,Waters-Reeves,306.76,197.33,Gonzalez-James,2023-05-29
146,Lead Tablets 629,Electronics,Tablets,Schneider-Oliver,22.29,13.92,"Harris, Romero and Howard",2024-09-25
147,Store Smartphones 322,Electronics,Smartphones,Jones-Chung,282.02,131.79,"Chen, Nelson and Martin",2022-12-14
148,Woman Accessories 597,Electronics,Accessories,"Mcmahon, Rodriguez and King",976.37,565.37,Parks PLC,2025-07-23
149,Factor Tablets 147,Electronics,Tablets,Edwards PLC,699.28,413.66,Bennett Ltd,2024-08-12
150,Through Tablets 550,Electronics,Tablets,Medina-Frazier,463.11,230.2,Russell-Davidson,2022-12-18
151,Discussion Wearables 428,Electronics,Wearables,Romero Inc,119.42,68.14,Blair-Cherry,2024-02-23
152,Once Wearables 489,Electronics,Wearables,Carter PLC,333.43,195.83,Lowe-West,2023-04-08
153,Exist Accessories 699,Electronics,Accessories,Stevens Inc,572.89,272.49,"Johnson, Porter and Turner",2024-10-11
154,Force Tablets 221,Electronics,Tablets,"Yang, Conner and Hunt",370.35,248.52,Sanders-Edwards,2025-01-21
155,Remember Smartphones 634,Electronics,Smartphones,Williams and Sons,331.64,174.38,Meyer-Harper,2024-07-31
156,Set Wearables 222,Electronics,Wearables,Jackson PLC,822.51,570.26,Greene-Martinez,2023-08-24
157,Yes Laptops 338,Electronics,Laptops,Davis-Patterson,40.5,22.54,Nunez-Harris,2024-06-25
158,Develop Tablets 779,Electronics,Tablets,"Wilson, Ryan and Mcdaniel",319.23,202.23,Jones Group,2023-06-19
159,Set Smartphones 417,Electronics,Smartphones,Dunn PLC,810.66,564.87,Thornton and Sons,2024-09-24
160,Director Laptops 157,Electronics,Laptops,Mcmahon and Sons,148.48,71.53,"Williams, Hull and Navarro",2024-10-06
161,Admit Smartphones 335,Electronics,Smartphones,Kerr-Thompson,109.5,74.61,Harmon PLC,2025-05-29
162,Fight Accessories 412,Electronics,Accessories,Jones-Cline,313.27,157.96,Rodriguez-Watson,2024-07-11
163,Recognize Laptops 636,Electronics,Laptops,Gibson and Sons,873.25,557.98,Cooper-Keller,2023-10-27
164,Sometimes Tablets 479,Electronics,Tablets,Humphrey LLC,679.96,423.69,Armstrong-Berry,2025-10-07
165,Teacher Laptops 294,Electronics,Laptops,Mora PLC,155.68,108.04,"Jackson, Mcmillan and Mccarthy",2025-03-19
166,Leg Smartphones 741,Electronics,Smartphones,Kane-Smith,673.61,296.77,"Johnson, Clark and Mason",2024-08-20
167,Near Accessories 893,Clothing,Accessories,"Nichols, Cooper and Valentine",934.03,535.51,"Miller, Sellers and Wheeler",2023-04-02
168,Present Kids Wear 322,Clothing,Kids Wear,Coleman Inc,920.61,428.53,Hoffman and Sons,2023-05-17
169,Visit Footwear 969,Clothing,Footwear,Flynn-Johnson,80.83,52.23,"Martinez, Ward and Burke",2025-06-06
170,She Accessories 268,Clothing,Accessories,"Norris, Nelson and Delacruz",688.55,362.15,Davis and Sons,2023-02-18
171,Toward Men's Wear 165,Clothing,Men's Wear,Whitehead Ltd,567.16,319.88,Cannon Group,2024-04-20
172,Relate Accessories 342,Clothing,Accessories,Reynolds-Clark,957.14,425.78,Torres-Lucero,2023-01-20
173,Others Women's Wear 236,Clothing,Women's Wear,Williams PLC,872.88,473.05,Foster Group,2023-05-09
174,Table Men's Wear 700,Clothing,Men's Wear,"Davis, Williams and Parker",520.44,216.22,Gibson-Brown,2023-10-12
175,Inside Men's Wear 734,Clothing,Men's Wear,"Martinez, Stevens and Robinson",508.03,320.85,"Mcintyre, Jones and Smith",2024-07-19
176,Work Footwear 970,Clothing,Footwear,"Goodwin, Hickman and Morrison",990.6,672.32,Pitts-Mcdaniel,2024-11-15
177,Weight Kids Wear 798,Clothing,Kids Wear,Evans-Brooks,825.45,467.7,"Fields, Burke and Holloway",2025-07-24
178,Race Women's Wear 516,Clothing,Women's Wear,Good-Stephenson,730.08,443.27,Livingston-Chavez,2023-08-05
179,Along Footwear 908,Clothing,Footwear,Holt-Kane,594.71,314.48,Perez and Sons,2024-12-27
180,Until Women's Wear 549,Clothing,Women's Wear,Jenkins LLC,540.35,372.02,Hays-Ellis,2024-07-28
181,Those Footwear 292,Clothing,Footwear,Soto LLC,131.81,68.14,Davis-Barnes,2024-09-27
182,Though Women's Wear 681,Clothing,Women's Wear,Knight-Ibarra,918.9,499.05,Day-Kirk,2025-10-18
183,Seven Men's Wear 220,Clothing,Men's Wear,Villarreal-Vega,750.47,427.71,Alvarado-Wilson,2024-07-08
184,Hand Kids Wear 969,Clothing,Kids Wear,Farmer-Harris,684.03,375.84,Mccoy-Rodriguez,2023-06-30
185,Care Women's Wear 510,Clothing,Women's Wear,Jones-Anderson,919.41,480.19,"Brown, Ochoa and Friedman",2025-10-28
186,At Men's Wear 802,Clothing,Men's Wear,Gates Inc,867.57,398.83,Roman Ltd,2023-04-06
187,Society Kids Wear 404,Clothing,Kids Wear,"Fields, Esparza and Jones",474.55,243.97,Hoover Inc,2023-01-06
188,Anyone Women's Wear 998,Clothing,Women's Wear,"Perkins, Foster and Horton",568.33,299.92,Wilson Ltd,2023-02-26
189,Face Footwear 858,Clothing,Footwear,Lang-Chapman,673.0,288.15,"Fox, Dyer and Johnson",2023-02-24
190,Pass Footwear 174,Clothing,Footwear,Humphrey-Torres,598.12,412.63,Saunders Group,2024-05-05
191,Their Footwear 971,Clothing,Footwear,Carter Inc,27.31,18.79,"Casey, Owens and Zuniga",2024-03-21
192,Large Footwear 413,Clothing,Footwear,"Ramos, Weiss and Lowery",605.49,303.93,"Melton, Trevino and George",2025-10-04
193,Tree Accessories 544,Clothing,Accessories,Collins PLC,763.42,420.33,Collins Inc,2024-09-27
194,Wrong Accessories 224,Clothing,Accessories,Howard Group,875.84,351.4,Weaver-Chang,2023-11-02
195,After Men's Wear 847,Clothing,Men's Wear,Jackson-Fry,688.42,406.08,Martinez-Keller,2023-02-26
196,It Men's Wear 625,Clothing,Men's Wear,"Acosta, Arroyo and Perez",567.15,393.05,Munoz Ltd,2023-07-25
197,Ground Men's Wear 503,Clothing,Men's Wear,Thompson-Watson,272.63,167.35,Jensen PLC,2024-06-30
198,Huge Kids Wear 913,Clothing,Kids Wear,Perry Inc,966.42,444.89,Wilcox-Johnson,2023-02-15
199,Tough Men's Wear 289,Clothing,Men's Wear,Reeves PLC,217.4,117.7,Brown-Kennedy,2024-04-07
200,His Accessories 715,Clothing,Accessories,Tanner-Davis,212.09,119.96,Avery Inc,2024-08-21
201,Concern Kids Wear 830,Clothing,Kids Wear,Knapp Group,97.97,41.56,Mclaughlin-Peterson,2023-08-18
202,Turn Women's Wear 788,Clothing,Women's Wear,Meza-Jenkins,520.46,331.02,"Chavez, Browning and Thomas",2023-02-12
203,Wrong Accessories 718,Clothing,Accessories,King-Bailey,936.76,554.72,Richards Group,2024-12-12
204,Street Accessories 424,Clothing,Accessories,"Saunders, Sanchez and Haynes",724.25,410.89,"Brown, Green and Thompson",2025-03-17
205,Body Accessories 714,Clothing,Accessories,"Flowers, Warren and Miller",348.86,235.76,"Cooper, Martinez and Price",2023-04-26
206,Girl Men's Wear 226,Clothing,Men's Wear,Leonard-Mills,618.63,342.08,Garner and Sons,2024-05-05
207,Memory Men's Wear 957,Clothing,Men's Wear,Bennett LLC,570.99,383.85,Weber PLC,2024-02-11
208,Analysis Kids Wear 540,Clothing,Kids Wear,Burke-Alvarez,329.54,143.02,Ibarra-Carlson,2023-05-08
209,Part Women's Wear 136,Clothing,Women's Wear,Castillo-Larson,135.23,70.42,Romero Group,2024-01-28
210,Suddenly Accessories 970,Clothing,Accessories,"Lopez, Smith and Washington",733.4,341.57,Harris-Roberts,2024-04-24
211,Course Kids Wear 704,Clothing,Kids Wear,Jordan-Evans,248.76,155.51,Davis-Martinez,2023-04-28
212,Religious Men's Wear 411,Clothing,Men's Wear,Rodriguez-Hamilton,223.2,108.53,"Newman, Hanson and Moore",2023-04-27
213,Table Women's Wear 186,Clothing,Women's Wear,Wilson-Moore,544.88,256.23,"Terry, Jones and Ward",2023-01-06
214,Ball Footwear 509,Clothing,Footwear,"Kim, Grant and Young",451.33,230.1,"Shepherd, Humphrey and Hill",2024-06-19
215,View Footwear 527,Clothing,Footwear,Olsen Ltd,365.67,190.62,"Ellison, Mercer and Ibarra",2023-04-28
216,Author Footwear 921,Clothing,Footwear,Ramos Group,54.9,29.4,"Stevens, Reyes and Kidd",2023-04-16
217,Surface Accessories 354,Clothing,Accessories,Cole and Sons,447.66,228.52,"Wright, Hopkins and Strickland",2025-08-15
218,Season Footwear 565,Clothing,Footwear,Clayton-Moore,84.65,58.78,Sharp PLC,2025-07-15
219,Exist Accessories 287,Clothing,Accessories,Smith Inc,963.77,490.9,"Franklin, Welch and Herrera",2024-03-06
220,Per Kids Wear 136,Clothing,Kids Wear,Jenkins Group,724.46,405.47,Hicks-Thomas,2022-12-04
221,Skin Footwear 161,Clothing,Footwear,Oneal-Yates,255.62,119.52,Williamson Inc,2023-06-06
222,Student Women's Wear 680,Clothing,Women's Wear,Garcia Inc,392.69,225.33,"Duke, West and Johnson",2025-03-29
223,Million Men's Wear 263,Clothing,Men's Wear,Austin-Mcintyre,411.87,182.76,Swanson and Sons,2024-11-15
224,Skin Men's Wear 675,Clothing,Men's Wear,Fritz LLC,824.48,449.16,"Douglas, Harper and Lewis",2025-02-03
225,Instead Footwear 901,Clothing,Footwear,Steele-Johnson,427.17,247.64,Alvarado PLC,2024-03-07
226,Line Footwear 611,Clothing,Footwear,"Grant, Terry and Francis",134.89,75.64,"Wilson, Douglas and Park",2025-08-04
227,Western Footwear 542,Clothing,Footwear,Raymond-Walsh,202.53,102.9,"Rios, Gamble and Gardner",2025-11-08
228,Voice Kids Wear 339,Clothing,Kids Wear,Jacobs-Lozano,304.86,126.57,Johnson PLC,2022-12-31
229,Morning Women's Wear 106,Clothing,Women's Wear,Johnson PLC,433.31,278.09,"Weaver, Phillips and Cole",2025-09-27
230,He Accessories 335,Clothing,Accessories,Perez Group,313.02,139.52,"Gay, Huynh and Taylor",2023-01-02
231,Analysis Footwear 335,Clothing,Footwear,"Riggs, Sanchez and Martin",772.43,446.88,"Willis, Zamora and Bryant",2023-03-07
232,Across Footwear 810,Clothing,Footwear,Lopez-Cox,530.28,335.96,"Hubbard, Jones and Holmes",2024-05-03
233,Big Footwear 138,Clothing,Footwear,"Ramos, Henderson and Robinson",217.12,117.64,Johnston LLC,2024-02-23
234,Door Men's Wear 899,Clothing,Men's Wear,Carter Inc,915.17,469.89,"Paul, Lowe and Davis",2025-07-18
235,Newspaper Accessories 199,Clothing,Accessories,"Williams, Guzman and Wells",417.28,204.75,"Lamb, Brown and Harris",2023-08-04
236,Such Kids Wear 840,Clothing,Kids Wear,King-Norris,23.37,15.31,Sullivan LLC,2024-10-30
237,Newspaper Accessories 138,Clothing,Accessories,David LLC,126.0,87.91,Mullen Ltd,2024-09-14
